filename,bug_fixes,file_size,id_avg,id_unique,method_avg,method_unique,token_avg,token_unique
StructuralEvaluator.java,2,3842,7.0,3,9.263157894736842,5,7.0,1
NodeTest.java,7,11418,17.70769230769231,65,8.547945205479452,97,4.918803418803419,54
XmlTreeBuilder.java,2,4326,9.857142857142858,12,8.880952380952381,30,4.3125,5
FormElement.java,2,4143,7.636363636363637,10,6.583333333333333,17,4.2,3
Node.java,16,22374,8.555555555555555,36,7.968,106,4.967741935483871,27
HttpConnection.java,20,35707,13.96923076923077,62,8.567226890756302,184,5.746835443037975,37
Attribute.java,5,4890,8.6,5,8.4,20,4.777777777777778,9
NodeTraversor.java,2,1423,8.0,2,8.25,6,8.0,1
Cleaner.java,4,6314,10.105263157894736,19,9.678571428571429,24,4.923076923076923,9
DataUtil.java,12,9529,14.0,19,8.392156862745098,39,4.523076923076923,17
Validate.java,0,3118,14.0,1,8.666666666666666,2,4.666666666666667,3
CharacterReaderTest.java,3,8752,13.466666666666667,30,10.93661971830986,44,5.113924050632911,25
CleanerTest.java,11,10899,20.0,65,8.783132530120483,65,5.579399141630901,55
TagTest.java,1,1655,11.454545454545455,11,8.851851851851851,19,6.3,10
DataNode.java,0,1744,17.0,1,5.8,5,5.666666666666667,3
AttributeTest.java,1,645,36.0,3,11.0,3,5.684210526315789,10
ElementTest.java,16,35694,18.319148936170212,188,9.317622950819672,264,4.730769230769231,100
Tokeniser.java,4,10036,17.714285714285715,14,9.785714285714286,54,7.75,7
XmlTreeBuilderTest.java,4,5538,24.11111111111111,27,9.342105263157896,24,4.717391304347826,38
Element.java,20,43731,11.262295081967213,61,7.771929824561403,202,5.409448818897638,47
HtmlTreeBuilder.java,5,24727,17.349206349206348,60,7.698564593301436,155,5.576530612244898,46
CharacterReader.java,5,10826,13.894736842105264,53,9.380952380952381,36,5.2105263157894735,24
HttpConnectionTest.java,2,6585,18.0,27,8.734177215189874,52,5.34065934065934,38
Tag.java,9,10184,7.0,3,7.090909090909091,9,4.2,5
DataUtilTest.java,6,4281,30.333333333333332,12,11.151515151515152,20,5.6875,15
FormElementTest.java,1,6211,25.416666666666668,36,8.241379310344827,42,5.198863636363637,32
HtmlParserTest.java,20,44806,23.185185185185187,216,9.59217877094972,239,5.9336492890995265,173
TokenQueue.java,2,11819,13.25925925925926,27,8.77027027027027,71,5.59375,20
TokenQueueTest.java,0,2079,18.785714285714285,14,11.708333333333334,17,5.479166666666667,12
